time,pid_tb.pos[31:0]
15085100000,-7824
15085100000,-7811
15092300000,-7811
15092300000,-7799
15099500000,-7799
15099500000,-7786
15106700000,-7786
15106700000,-7773
15113900000,-7773
15113900000,-7760
15121100000,-7760
15121100000,-7748
15128300000,-7748
15128300000,-7736
15135500000,-7736
15135500000,-7723
15142700000,-7723
15142700000,-7710
15149900000,-7710
15149900000,-7697
15157100000,-7697
15157100000,-7685
15164300000,-7685
15164300000,-7673
15171500000,-7673
15171500000,-7660
15178700000,-7660
15178700000,-7647
15185900000,-7647
15185900000,-7635
15193100000,-7635
15193100000,-7623
15200300000,-7623
15200300000,-7611
15207500000,-7611
15207500000,-7598
15214700000,-7598
15214700000,-7586
15221900000,-7586
15221900000,-7574
15229100000,-7574
15229100000,-7562
15236300000,-7562
15236300000,-7550
15243500000,-7550
15243500000,-7538
15250700000,-7538
15250700000,-7526
15257900000,-7526
15257900000,-7514
15265100000,-7514
15265100000,-7502
15272300000,-7502
15272300000,-7490
15279500000,-7490
15279500000,-7478
15286700000,-7478
15286700000,-7466
15293900000,-7466
15293900000,-7454
15301100000,-7454
15301100000,-7442
15308300000,-7442
15308300000,-7430
15315500000,-7430
15315500000,-7418
15322700000,-7418
15322700000,-7406
15329900000,-7406
15329900000,-7394
15337100000,-7394
15337100000,-7382
15344300000,-7382
15344300000,-7370
15351500000,-7370
15351500000,-7358
15358700000,-7358
15358700000,-7346
15365900000,-7346
15365900000,-7334
15373100000,-7334
15373100000,-7322
15380300000,-7322
15380300000,-7310
15387500000,-7310
15387500000,-7298
15394700000,-7298
15394700000,-7286
15401900000,-7286
15401900000,-7274
15409100000,-7274
15409100000,-7262
15416300000,-7262
15416300000,-7250
15423500000,-7250
15423500000,-7238
15430700000,-7238
15430700000,-7226
15437900000,-7226
15437900000,-7214
15445100000,-7214
15445100000,-7202
15452300000,-7202
15452300000,-7190
15459500000,-7190
15459500000,-7179
15466700000,-7179
15466700000,-7167
15473900000,-7167
15473900000,-7155
15481100000,-7155
15481100000,-7143
15488300000,-7143
15488300000,-7132
15495500000,-7132
15495500000,-7120
15502700000,-7120
15502700000,-7108
15509900000,-7108
15509900000,-7097
15517100000,-7097
15517100000,-7085
15524300000,-7085
15524300000,-7073
15531500000,-7073
15531500000,-7062
15538700000,-7062
15538700000,-7051
15545900000,-7051
15545900000,-7039
15553100000,-7039
15553100000,-7028
15560300000,-7028
15560300000,-7017
15567500000,-7017
15567500000,-7006
15574700000,-7006
15574700000,-6994
15581900000,-6994
15581900000,-6983
15589100000,-6983
15589100000,-6972
15596300000,-6972
15596300000,-6961
15603500000,-6961
15603500000,-6950
15610700000,-6950
15610700000,-6939
15617900000,-6939
15617900000,-6927
15625100000,-6927
15625100000,-6916
15632300000,-6916
15632300000,-6905
15639500000,-6905
15639500000,-6894
15646700000,-6894
15646700000,-6883
15653900000,-6883
15653900000,-6872
15661100000,-6872
15661100000,-6861
15668300000,-6861
15668300000,-6850
15675500000,-6850
15675500000,-6839
15682700000,-6839
15682700000,-6828
15689900000,-6828
15689900000,-6817
15697100000,-6817
15697100000,-6806
15704300000,-6806
15704300000,-6795
15711500000,-6795
15711500000,-6784
15718700000,-6784
